sold by,publisher.type,genre,avg.review,daily.sales,total.reviews,sale.price
Random House LLC,big five,childrens,4.44,61.55,92,8.03
"Amazon Digital Services,  Inc.",indie,non_fiction,4.19,74.89,130,9.08
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.71,65.98,118,9.48
"Amazon Digital Services,  Inc.",small/medium,fiction,4.72,85.19,179,12.32
Simon and Schuster Digital Sales Inc,big five,childrens,4.65,37.67,111,5.78
Simon and Schuster Digital Sales Inc,big five,childrens,4.81,70.58,106,11.67
"Amazon Digital Services,  Inc.",small/medium,fiction,4.33,172.4,205,10.34
HarperCollins Publishers,big five,childrens,4.21,59.35,86,11.41
"Amazon Digital Services,  Inc.",small/medium,fiction,3.95,134.41,161,7.08
"Amazon Digital Services,  Inc.",small/medium,childrens,4.66,62.2,81,10.81
"Amazon Digital Services,  Inc.",small/medium,childrens,4.37,77.3,102,9.94
"Amazon Digital Services,  Inc.",indie,childrens,4.53,51.59,70,6.25
Macmillan,big five,childrens,3.21,49.56,94,11.7
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.9,101.41,139,11.49
"Amazon Digital Services,  Inc.",indie,non_fiction,4.36,94.07,152,8.1
"Amazon Digital Services,  Inc.",indie,non_fiction,4.98,77.81,81,8.08
"Amazon Digital Services,  Inc.",indie,non_fiction,4.41,53.53,140,6.19
"Amazon Digital Services,  Inc.",small/medium,fiction,3.6,141.48,200,8.62
"Amazon Digital Services,  Inc.",single author,fiction,4.09,60.42,185,11.4
"Amazon Digital Services,  Inc.",indie,childrens,3.66,41.78,105,13.46
"Amazon Digital Services,  Inc.",small/medium,fiction,4.67,69.87,142,9.39
"Amazon Digital Services,  Inc.",single author,non_fiction,4.5,52.54,132,7.84
"Amazon Digital Services,  Inc.",small/medium,non_fiction,2.9,65.13,158,5.6
Penguin Group (USA) LLC,big five,non_fiction,4.71,87.68,119,8.96
"Amazon Digital Services,  Inc.",small/medium,fiction,4.45,84.92,145,8.87
Macmillan,big five,childrens,4.37,48.5,91,10.77
"Amazon Digital Services,  Inc.",indie,childrens,4.98,55.21,105,8.64
"Amazon Digital Services,  Inc.",indie,fiction,3.81,110.88,203,7.32
Random House LLC,big five,fiction,3.95,123.16,183,10.48
"Amazon Digital Services,  Inc.",small/medium,childrens,4.34,40.2,116,9.05
"Amazon Digital Services,  Inc.",small/medium,fiction,4.63,105.42,146,6.52
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.17,70.27,131,4.97
"Amazon Digital Services,  Inc.",small/medium,childrens,4.75,57.78,127,10.12
"Amazon Digital Services,  Inc.",small/medium,childrens,4.32,59.97,82,10.14
"Amazon Digital Services,  Inc.",single author,fiction,4.11,124.97,183,5.4
"Amazon Digital Services,  Inc.",indie,childrens,4.29,53.53,100,12.48
"Amazon Digital Services,  Inc.",single author,childrens,3.02,57.29,67,13.06
"Amazon Digital Services,  Inc.",indie,non_fiction,4.75,99.16,137,5.4
Random House LLC,big five,childrens,3.59,64.67,109,9.21
"Amazon Digital Services,  Inc.",single author,fiction,3.66,149.72,190,7.58
"Amazon Digital Services,  Inc.",single author,fiction,4.73,141.46,198,7.61
Penguin Group (USA) LLC,big five,childrens,2.5,30.01,106,10.17
"Amazon Digital Services,  Inc.",small/medium,fiction,4.5,101.15,174,6.3
Hachette Book Group,big five,childrens,4.4,66.38,127,11.59
Random House LLC,big five,non_fiction,3.95,84.31,98,5.45
Random House LLC,big five,non_fiction,4.77,110.76,142,7.39
"Amazon Digital Services,  Inc.",small/medium,childrens,4.7,54.07,162,9.48
"Amazon Digital Services,  Inc.",indie,fiction,4.65,103.53,154,8.14
"Amazon Digital Services,  Inc.",indie,non_fiction,3.48,76.69,110,5.37
Hachette Book Group,big five,non_fiction,4.7,93.15,132,7.37
"Amazon Digital Services,  Inc.",indie,non_fiction,4.51,69.97,127,7.37
"Amazon Digital Services,  Inc.",small/medium,fiction,4.63,109.3,147,8.93
"Amazon Digital Services,  Inc.",single author,non_fiction,3,82.25,142,7.18
"Amazon Digital Services,  Inc.",single author,non_fiction,3.75,68.66,116,6.52
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.5,68.21,112,6.56
Random House LLC,big five,childrens,4.71,43.88,111,7.96
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.36,60.72,123,7.35
"Amazon Digital Services,  Inc.",small/medium,fiction,3.82,119.17,189,8.81
"Amazon Digital Services,  Inc.",single author,fiction,3.67,105.17,190,9.14
"Amazon Digital Services,  Inc.",indie,non_fiction,4.6,104.51,91,9.36
Penguin Group (USA) LLC,big five,fiction,4.57,169.01,217,10.87
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.71,66.01,120,7.32
HarperCollins Publishers,big five,fiction,4.83,87.24,184,5.79
"Amazon Digital Services,  Inc.",indie,fiction,4.5,58.35,161,8.85
"Amazon Digital Services,  Inc.",small/medium,childrens,4.57,72.11,97,7.62
"Amazon Digital Services,  Inc.",small/medium,childrens,4.62,43.96,86,12.11
"Amazon Digital Services,  Inc.",small/medium,childrens,4.71,45.95,107,9.05
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.8,90.25,121,7.83
"Amazon Digital Services,  Inc.",small/medium,fiction,4.01,98.59,164,5.19
Random House LLC,big five,childrens,4.37,49.6,125,10.36
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.66,34.93,81,6.98
"Amazon Digital Services,  Inc.",small/medium,childrens,4.76,62.27,122,10.13
Penguin Group (USA) LLC,big five,childrens,2.48,66.83,130,8.57
"Amazon Digital Services,  Inc.",indie,fiction,4.53,126.23,188,8.7
"Amazon Digital Services,  Inc.",indie,non_fiction,2,93.09,120,8.39
"Amazon Digital Services,  Inc.",indie,non_fiction,4.2,51.14,122,8.9
"Amazon Digital Services,  Inc.",small/medium,fiction,4.35,116.88,168,6.96
Simon and Schuster Digital Sales Inc,big five,childrens,2.48,71.26,111,8.63
"Amazon Digital Services,  Inc.",single author,fiction,4.43,145.72,208,6.35
Random House LLC,big five,non_fiction,3.62,74.1,150,5.16
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.66,75.65,119,8.49
"Amazon Digital Services,  Inc.",single author,childrens,4.59,52.36,110,12.83
"Amazon Digital Services,  Inc.",indie,fiction,4.66,112.49,186,5.77
"Amazon Digital Services,  Inc.",single author,fiction,3.98,76.22,127,10.35
"Amazon Digital Services,  Inc.",indie,childrens,4.4,56.33,83,10.67
"Amazon Digital Services,  Inc.",single author,non_fiction,4.28,21.81,114,5.92
HarperCollins Publishers,big five,childrens,4.49,39.73,102,8.37
"Amazon Digital Services,  Inc.",indie,non_fiction,4.63,90.52,109,8.78
"Amazon Digital Services,  Inc.",small/medium,childrens,4.72,59.32,76,10.54
"Amazon Digital Services,  Inc.",single author,childrens,3.75,67.42,104,10.23
"Amazon Digital Services,  Inc.",small/medium,fiction,4.59,35.84,151,7.95
Penguin Group (USA) LLC,big five,non_fiction,4.47,77.89,134,5.98
"Amazon Digital Services,  Inc.",indie,childrens,4.61,62.98,106,10.51
Simon and Schuster Digital Sales Inc,big five,non_fiction,3.48,37.01,118,10.06
HarperCollins Publishers,big five,fiction,4.33,138.47,178,8.06
"Amazon Digital Services,  Inc.",small/medium,fiction,4.2,152.94,175,8.73
Random House LLC,big five,non_fiction,4.61,102.86,131,5.9
"Amazon Digital Services,  Inc.",small/medium,fiction,4.69,91.81,182,5.53
"Amazon Digital Services,  Inc.",indie,childrens,4.1,36.79,88,6.48
"Amazon Digital Services,  Inc.",indie,fiction,4.56,98.92,183,7.39
"Amazon Digital Services,  Inc.",indie,childrens,4.34,42.4,73,10.26
"Amazon Digital Services,  Inc.",indie,fiction,4.76,154.98,207,9.54
Cengage Learning,small/medium,fiction,4.09,99.89,178,7.64
HarperCollins Publishing,big five,non_fiction,4.01,47.03,106,5.86
"Amazon Digital Services,  Inc.",small/medium,childrens,4.33,38.46,98,6.62
HarperCollins Publishers,big five,non_fiction,4.74,60.73,143,6.71
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.4,33.56,128,7.92
"Amazon Digital Services,  Inc.",indie,non_fiction,3,46.24,105,10.49
Random House LLC,big five,childrens,4.91,77.94,107,10.88
Random House LLC,big five,non_fiction,4.57,70.95,95,9.64
Penguin Group (USA) LLC,big five,childrens,4.61,77.64,88,6.1
"Amazon Digital Services,  Inc.",amazon,fiction,4.61,155.35,148,5.02
"Amazon Digital Services,  Inc.",single author,childrens,4.9,53.9,104,6.88
"Amazon Digital Services,  Inc.",indie,non_fiction,3.98,67.61,103,9.68
"Amazon Digital Services,  Inc.",indie,non_fiction,4.8,60.97,135,9.02
HarperCollins Publishers,big five,childrens,4.35,47.55,83,8.38
Simon and Schuster Digital Sales Inc,big five,childrens,4.38,56.7,86,11.68
"Amazon Digital Services,  Inc.",small/medium,fiction,4.96,110.09,173,3.34
"Amazon Digital Services,  Inc.",small/medium,fiction,4.48,54.73,166,9.58
HarperCollins Publishers,big five,non_fiction,4.83,74.07,156,8.94
"Amazon Digital Services,  Inc.",indie,fiction,4.25,82.98,166,7.27
"Amazon Digital Services,  Inc.",indie,fiction,4.22,130.5,195,9.19
"Amazon Digital Services,  Inc.",indie,non_fiction,4.3,80.9,150,8.51
Random House LLC,big five,fiction,4.18,92,178,6.45
"Amazon Digital Services,  Inc.",indie,childrens,4.64,63.64,99,10.94
Random House LLC,big five,childrens,4.88,47.92,67,10.96
"Amazon Digital Services,  Inc.",indie,non_fiction,4.75,78.78,122,9.47
Macmillan,big five,non_fiction,3,81.14,138,8.02
"Amazon Digital Services,  Inc.",single author,childrens,4.27,78.83,119,10.2
"Amazon Digital Services,  Inc.",amazon,non_fiction,4.62,32.61,72,8.1
"Amazon Digital Services,  Inc.",indie,fiction,4.4,94.65,171,7.06
"Amazon Digital Services,  Inc.",indie,non_fiction,3.72,76.37,139,8.65
"Amazon Digital Services,  Inc.",single author,non_fiction,4.42,85.58,119,6.34
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.29,72.59,109,4.12
"Amazon Digital Services,  Inc.",small/medium,fiction,4.83,85.92,187,13
HarperCollins Publishers,big five,childrens,4.48,63.599999999999994,127,11.91
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.77,55.18,134,8.53
HarperCollins Publishers,big five,fiction,4.73,53.3,170,5.69
Hachette Book Group,big five,non_fiction,4.34,71.36,104,11.14
"Amazon Digital Services,  Inc.",indie,non_fiction,4.4,78.57,97,10.33
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.25,60.27,125,6.14
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.63,87.03,108,10.2
"Amazon Digital Services,  Inc.",small/medium,childrens,4.05,67.87,98,8.51
"Amazon Digital Services,  Inc.",indie,fiction,4.5,85.36,185,11.67
Hachette Book Group,big five,fiction,4.09,91.38,176,9.86
"Amazon Digital Services,  Inc.",indie,non_fiction,4.2,66.28,147,10.01
"Amazon Digital Services,  Inc.",indie,fiction,4.74,94.47,167,11.19
Macmillan,big five,childrens,4.5,57.08,92,10.03
"Amazon Digital Services,  Inc.",amazon,fiction,4.31,121.66,200,9.59
